timestamp,segment_id,segment_name,latitude,longitude,current_speed_kmh,free_flow_speed_kmh,current_travel_time_sec,free_flow_travel_time_sec,confidence
2026-02-21 03:28:25.469539,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-21 03:28:26.532633,Segment 3,Business Bay,25.1872,55.2644,17,24,199,141,0.89
2026-02-21 03:28:27.591241,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-21 04:54:05.061254,Segment 1,World Trade Centre,25.2262,55.287,47,52,45,41,1.0
2026-02-21 04:54:06.136898,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-21 04:54:07.204366,Segment 3,Business Bay,25.1872,55.2644,14,24,242,141,0.96
2026-02-21 04:54:08.272051,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-21 05:50:06.124496,Segment 1,World Trade Centre,25.2262,55.287,53,53,40,40,1.0
2026-02-21 05:50:07.247924,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-21 05:50:08.360524,Segment 3,Business Bay,25.1872,55.2644,12,25,282,135,0.97
2026-02-21 05:50:09.468713,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-21 06:34:20.170002,Segment 1,World Trade Centre,25.2262,55.287,44,52,48,41,1.0
2026-02-21 06:34:21.227518,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-21 06:34:22.282451,Segment 3,Business Bay,25.1872,55.2644,13,24,260,141,0.99
2026-02-21 06:34:23.335835,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-21 07:19:41.305645,Segment 1,World Trade Centre,25.2262,55.287,43,53,50,40,1.0
2026-02-21 07:19:42.421524,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-21 07:19:43.541867,Segment 3,Business Bay,25.1872,55.2644,14,23,242,147,0.97
2026-02-21 07:19:44.662800,Segment 4,MOE,25.1182,55.2006,28,35,639,511,1.0
